original_path,filename,file_type,reason,content_read,recommended_next_action
00_INBOX - Входящи - Eingang/Accounting/awbonusfoodbonus032024/38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,38389 - Vorgangsmappe Lohn - Auszahlungen Inflationsprämie.xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/awbonusfoodbonus032024/38389 - Vorgangsmappe Lohn - Working Hours 03-2024 .xlsx,38389 - Vorgangsmappe Lohn - Working Hours 03-2024 .xlsx,.xlsx,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/awturchalievastefanova/10001_00069_Turchalieva_Maria_Desislava_07_2024_Div_Auswertungen_I03 (1).pdf,10001_00069_Turchalieva_Maria_Desislava_07_2024_Div_Auswertungen_I03 (1).pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/awturchalievastefanova/10001_00070_Stefanova_Petya_06_2024_Div_Auswertungen_F0B.pdf,10001_00070_Stefanova_Petya_06_2024_Div_Auswertungen_F0B.pdf,.pdf,No category keywords detected.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwd/20250120_162838.jpg,20250120_162838.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwd/20250120_162844.jpg,20250120_162844.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwd/20250120_162848.jpg,20250120_162848.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwdinvoicesfor4buses/1000038649 (1).jpg,1000038649 (1).jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwdinvoicesfor4buses/1000038651.jpg,1000038651.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwdinvoicesfor4buses/1000038655.jpg,1000038655.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
00_INBOX - Входящи - Eingang/Accounting/fwdinvoicesfor4buses/1000038657.jpg,1000038657.jpg,.jpg,Image/video file has no category context and OCR is not implemented.,NO,Review manually or add category-specific keyword/parser.
