content_hash,kept_source_file,duplicate_source_file,reason
890e9ba637ca1386fbc5a3305ff17f3bb1be2915fa12b32ac523971363412302,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2024__copy3.pdf,Same file hash.
ddea8e63dbd5d7325addc54b6a30835b7b2c25316c694b8b9e34ccda265d6a0e,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2025__copy2.pdf,Same file hash.
ddea8e63dbd5d7325addc54b6a30835b7b2c25316c694b8b9e34ccda265d6a0e,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 03-2025__copy3.pdf,Same file hash.
60f8b408ad1407430116cdaf8d1ae5edafef909835dbb57588f859ada453ad6e,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2024__copy2.pdf,Same file hash.
60f8b408ad1407430116cdaf8d1ae5edafef909835dbb57588f859ada453ad6e,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2024__copy3.pdf,Same file hash.
f3110e1d314ee5ed31cf8d46f655c4671aeec5d3dde3a7e2828d02a14e2d3c3b,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2025__copy2.pdf,Same file hash.
f3110e1d314ee5ed31cf8d46f655c4671aeec5d3dde3a7e2828d02a14e2d3c3b,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 04-2025__copy3.pdf,Same file hash.
bf77dd1fabef3a0e81e6b0df756d6d1cd8900ac05c3a98fad355a3f93e2a7a93,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2024__copy2.pdf,Same file hash.
bf77dd1fabef3a0e81e6b0df756d6d1cd8900ac05c3a98fad355a3f93e2a7a93,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2024.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2024__copy3.pdf,Same file hash.
6a2a01b307ccba8417703cbf3244310962de77d4e5925b51574332ff2fb92eda,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2025.pdf,00_INBOX - Входящи - Eingang/Accounting_Organized/03_Employee_Payslips/Entgeltbescheinigungen 05-2025__copy2.pdf,Same file hash.
